,Datetime,scrip_value,Open,High,signal,tp,sl
66,2023-02-14T09:24:00,ZYDUSLIFE29Mar2023,472.3,472.3,True,473.00845000000004,471.8277
92,2023-02-15T09:35:00,ZYDUSLIFE29Mar2023,472.55,472.55,True,473.258825,472.07745
114,2023-02-15T13:35:00,ZYDUSLIFE29Mar2023,471.0,471.0,True,471.7065,470.529
180,2023-02-16T11:26:00,ZYDUSLIFE29Mar2023,481.3,481.3,False,482.02195,480.81870000000004
264,2023-02-17T09:16:00,ZYDUSLIFE29Mar2023,480.45,480.45,True,481.17067499999996,479.96954999999997
268,2023-02-17T09:28:00,ZYDUSLIFE29Mar2023,477.0,478.5,True,477.7155,476.523
333,2023-02-17T11:36:00,ZYDUSLIFE29Mar2023,477.2,477.2,True,477.9158,476.7228
334,2023-02-17T11:39:00,ZYDUSLIFE29Mar2023,476.35,476.7,True,477.064525,475.87365
463,2023-02-17T15:24:00,ZYDUSLIFE29Mar2023,473.4,473.4,True,474.1101,472.92659999999995
719,2023-02-20T14:27:00,ZYDUSLIFE29Mar2023,472.15,472.15,True,472.858225,471.67785
1073,2023-02-21T14:24:00,ZYDUSLIFE29Mar2023,472.75,472.75,True,473.459125,472.27725
1131,2023-02-22T09:15:00,ZYDUSLIFE29Mar2023,469.25,469.25,True,469.953875,468.78075
1423,2023-02-23T09:17:00,ZYDUSLIFE29Mar2023,464.5,466.65,True,465.19675,464.0355
1598,2023-02-23T12:56:00,ZYDUSLIFE29Mar2023,470.1,470.4,True,470.80515,469.6299
1720,2023-02-24T09:15:00,ZYDUSLIFE29Mar2023,473.6,474.15,False,474.3104,473.12640000000005
1721,2023-02-24T09:16:00,ZYDUSLIFE29Mar2023,473.1,473.1,False,473.80965000000003,472.62690000000003
1934,2023-02-27T09:15:00,ZYDUSLIFE29Mar2023,469.1,469.65,True,469.80365,468.6309
2013,2023-02-27T11:03:00,ZYDUSLIFE29Mar2023,456.65,456.65,True,457.334975,456.19334999999995
2023,2023-02-27T11:22:00,ZYDUSLIFE29Mar2023,455.95,455.95,True,456.633925,455.49405
2026,2023-02-27T11:29:00,ZYDUSLIFE29Mar2023,455.25,455.35,True,455.932875,454.79475
2363,2023-02-28T15:00:00,ZYDUSLIFE29Mar2023,467.75,468.8,False,468.451625,467.28225
2364,2023-02-28T15:01:00,ZYDUSLIFE29Mar2023,468.4,468.8,False,469.1026,467.9316
2392,2023-03-01T09:15:00,ZYDUSLIFE29Mar2023,471.35,471.35,False,472.057025,470.87865000000005
2394,2023-03-01T09:17:00,ZYDUSLIFE29Mar2023,467.75,467.75,True,468.451625,467.28225
2549,2023-03-01T14:01:00,ZYDUSLIFE29Mar2023,477.0,477.0,False,477.7155,476.523
2602,2023-03-01T15:11:00,ZYDUSLIFE29Mar2023,476.05,476.05,True,476.764075,475.57395
